"ID","Use","Born_Month","Gender","Hand_Span","PostCode","StateSecondary16","StateSecondary18","UniTravelMode","Height","GymHours","SocialMediaHours","SleepHours","Piercings","Visual","Job","Handed","Diet","Random1_20","BloodDonor","DrivingLicense","ShoeSize","AlevelGeog","GeogExamBoard","Start","End","Year"
"677627-677618-71273556","Yes","August","Male",220,"28033","No","No","On foot",188,9,0.5,9,0,"neither","No","right-handed?","vegetarian?",6,"No","No",11,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-01-27 08:34:08 UTC","2021-01-27 08:38:33 UTC",2020
"677627-677618-71381010","Yes","November","Female",190,"SK13 8JB","Yes","Yes","Bus",165,1,3.61666666666667,7.5,0,"neither","Yes","right-handed?","vegetarian?",17,"No","Yes",6,"A-level","Pearson Edexcel","2021-01-28 14:24:29 UTC","2021-01-28 14:30:54 UTC",2020
"677627-677618-71673568","Yes","July","Female",180,"TS21 1QE","Yes","Yes","On foot",164,7,0.883333333333333,8,2,"neither","No","left-handed?","meat eater (occasional or not)?",7,"No","Yes",5.5,"A-level","AQA (Assessment and Qualifications Alliance)","2021-02-02 15:05:44 UTC","2021-02-02 15:09:36 UTC",2020
"677627-677618-71807937","Yes","June","Female",160,"ST200NX","No","No","On foot",160,5,6.36666666666667,7.16666666666667,7,"neither","No","right-handed?","meat eater (occasional or not)?",17,"No","Yes",4,"A-level","AQA (Assessment and Qualifications Alliance)","2021-02-04 11:13:15 UTC","2021-02-04 11:18:07 UTC",2020
"677627-677618-72009776","Yes","February","Female",170,"CV31 2HA","Yes","Yes","Private car as a passenger",155,10,3.43333333333333,9.5,0,"neither","Yes","right-handed?","meat eater (occasional or not)?",6,"No","Yes",3,"A-level","AQA (Assessment and Qualifications Alliance)","2021-02-08 09:20:03 UTC","2021-02-08 09:24:45 UTC",2020
"677627-677618-72047408","Yes","November","Female",158,"SG14 3DL","Yes","Yes","Train",151,2,1,9,2,"neither","No","right-handed?","meat eater (occasional or not)?",8,"No","Yes",4,"A-level","Pearson Edexcel","2021-02-08 15:57:22 UTC","2021-02-08 16:01:29 UTC",2020
"677627-677618-72073531","Yes","September","Female",175,"PE7 8EE","Yes","Yes","On foot",160,5,5.08333333333333,7.5,3,"neither","No","left-handed?","meat eater (occasional or not)?",15,"No","Yes",6,"A-level","Pearson Edexcel","2021-02-08 23:21:35 UTC","2021-02-08 23:32:58 UTC",2020
"677627-677618-72257087","Yes","October","Male",265,"N14 6LN","Yes","Yes","Train",205,3,1.5,8.5,0,"eyeglasses","No","right-handed?","meat eater (occasional or not)?",9,"Yes","No",14,"A-level","AQA (Assessment and Qualifications Alliance)","2021-02-11 11:29:26 UTC","2021-02-11 11:31:40 UTC",2020
"677627-677618-72257107","Yes","May","Female",65,"L17 9PT","Yes","Yes","On foot",172,1,6,7,2,"neither","Yes","right-handed?","meat eater (occasional or not)?",15,"No","No",6,"A-level","OCR (Oxford, Cambridge and RSA Exams)","2021-02-11 11:29:33 UTC","2021-02-11 11:39:36 UTC",2020
"677627-677618-72257192","Yes","December","Female",180,"TW9 2HB","No","No","Train",175,0,1.26666666666667,9.5,4,"eyeglasses","No","right-handed?","vegetarian?",15,"No","No",5.5,"International Baccalaureate","Other","2021-02-11 11:30:29 UTC","2021-02-11 11:51:14 UTC",2020
"677627-677618-72337832","Yes","April","Male",210,"CH42 4QD","Yes","Yes","On foot",181,2,2.2,8.45,0,"neither","No","right-handed?","meat eater (occasional or not)?",14,"No","No",9.5,"A-level","WJEC (Welsh Joint Examinations Committee)","2021-02-12 11:55:11 UTC","2021-02-12 11:59:41 UTC",2020
